Abbreviation,TimeFromTransfusion,Z_Mean,VitalName,PlotOrder,Pred,LCL,UCL,VitalParam
ARTd,-686.0375,-0.660235278,Diastolic Blood Pressure (mmHg),3,0.018671344,-0.073744738,0.111087427,ARTd
ARTd,-685.607,0.714293037,Diastolic Blood Pressure (mmHg),3,0.018970152,-0.072939918,0.110880222,ARTd
ARTd,-685.3508333,-0.508294175,Diastolic Blood Pressure (mmHg),3,0.019146942,-0.072463994,0.110757878,ARTd
ARTd,-683.9885,0.01426299,Diastolic Blood Pressure (mmHg),3,0.020074451,-0.069970366,0.110119267,ARTd
ARTd,-683.4978333,-0.576896759,Diastolic Blood Pressure (mmHg),3,0.020403283,-0.069087699,0.109894266,ARTd
ARTd,-682.9951667,-0.325890553,Diastolic Blood Pressure (mmHg),3,0.020737294,-0.068191948,0.109666536,ARTd
ARTd,-682.345,-0.511637622,Diastolic Blood Pressure (mmHg),3,0.021165021,-0.067046133,0.109376175,ARTd
ARTd,-681.8875,-0.140143483,Diastolic Blood Pressure (mmHg),3,0.021463098,-0.066248513,0.109174709,ARTd
ARTd,-681.6728333,0.157051828,Diastolic Blood Pressure (mmHg),3,0.021602137,-0.065876721,0.109080995,ARTd
ARTd,-681.4005,0.732867744,Diastolic Blood Pressure (mmHg),3,0.021777769,-0.065407322,0.108962859,ARTd
ARTd,-680.7415,1.010373865,Diastolic Blood Pressure (mmHg),3,0.022199268,-0.064281955,0.108680491,ARTd
ARTd,-680.2688333,0.254940534,Diastolic Blood Pressure (mmHg),3,0.022498541,-0.063483948,0.108481031,ARTd
ARTd,-679.7166667,0.000198747,Diastolic Blood Pressure (mmHg),3,0.022844932,-0.062561422,0.108251286,ARTd
ARTd,-678.35,-0.033338918,Diastolic Blood Pressure (mmHg),3,0.023687391,-0.060323109,0.107697891,ARTd
ARTd,-678.1436667,-0.270166432,Diastolic Blood Pressure (mmHg),3,0.023812741,-0.059990759,0.107616242,ARTd
ARTd,-677.6261667,0.804194618,Diastolic Blood Pressure (mmHg),3,0.024125009,-0.059163648,0.107413666,ARTd
ARTd,-676.5966667,0.103680503,Diastolic Blood Pressure (mmHg),3,0.024737221,-0.057545657,0.107020099,ARTd
ARTd,-675.5921667,-0.251591725,Diastolic Blood Pressure (mmHg),3,0.025323033,-0.056002207,0.106648273,ARTd
ARTd,-675.3473333,-0.214442311,Diastolic Blood Pressure (mmHg),3,0.025464093,-0.055631295,0.10655948,ARTd
ARTd,-675.1958333,0.639994209,Diastolic Blood Pressure (mmHg),3,0.025551041,-0.055402816,0.106504898,ARTd
ARTd,-674.9868333,0.119902414,Diastolic Blood Pressure (mmHg),3,0.025670565,-0.055088923,0.106430053,ARTd
ARTd,-674.2953333,0.164853205,Diastolic Blood Pressure (mmHg),3,0.026062522,-0.05406114,0.106186185,ARTd
ARTd,-674.1058333,-0.03417478,Diastolic Blood Pressure (mmHg),3,0.026168997,-0.053782373,0.106120366,ARTd
ARTd,-673.699,-0.102994069,Diastolic Blood Pressure (mmHg),3,0.026396222,-0.05318809,0.105980535,ARTd
ARTd,-672.9585,0.045603586,Diastolic Blood Pressure (mmHg),3,0.026805042,-0.05212111,0.105731193,ARTd
ARTd,-672.2226667,-0.06045799,Diastolic Blood Pressure (mmHg),3,0.027205199,-0.051079664,0.105490062,ARTd
ARTd,-671.795,0.491396553,Diastolic Blood Pressure (mmHg),3,0.027434986,-0.050482995,0.105352966,ARTd
ARTd,-671.1963333,0.342798898,Diastolic Blood Pressure (mmHg),3,0.027753219,-0.049658394,0.105164832,ARTd
