TimeFromTransfusion,Storage_Cat,PredVal_Base,StdErrVal_Base,PredVal_Full,StdErrVal_Full,Lower_Full,Upper_Full,base_lower_full,base_upper_full,Delta_Base,Delta_Full,Delta_Lower,Delta_Upper,VitalParam,CompFactor,CompName,VitalName,YLabel,DeltaYLabel
-703,1,16.064025405,1.6272444013,13.130757367,1.6387700188,9.9188110676,16.342703666,9.9700810982,16.368423083,-0.030073687,-0.038494724,-3.250441023,3.1734515752,VE,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Minute Ventilation (L/min),VE (L/min),Change in   VE (L/min)
-702,1,16.065362762,1.6271130217,13.13241784,1.6386428653,9.9207207586,16.344114922,9.9700810982,16.368423083,-0.02873633,-0.03683425,-3.248531332,3.1748628312,VE,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Minute Ventilation (L/min),VE (L/min),Change in   VE (L/min)
-701,1,16.066700119,1.6269825504,13.134078314,1.6385165953,9.922628718,16.345527909,9.9700810982,16.368423083,-0.027398972,-0.035173777,-3.246623372,3.1762758188,VE,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Minute Ventilation (L/min),VE (L/min),Change in   VE (L/min)
-700,1,16.068037477,1.6268529877,13.135738787,1.6383912089,9.9245349455,16.346942629,9.9700810982,16.368423083,-0.026061615,-0.033513303,-3.244717145,3.1776905383,VE,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Minute Ventilation (L/min),VE (L/min),Change in   VE (L/min)
-699,1,16.069374834,1.6267243337,13.137399261,1.6382667064,9.9264394406,16.348359081,9.9700810982,16.368423083,-0.024724257,-0.03185283,-3.24281265,3.1791069901,VE,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Minute Ventilation (L/min),VE (L/min),Change in   VE (L/min)
-698,1,16.070712192,1.6265965887,13.139059734,1.638143088,9.9283422029,16.349777265,9.9700810982,16.368423083,-0.0233869,-0.030192356,-3.240909888,3.1805251748,VE,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Minute Ventilation (L/min),VE (L/min),Change in   VE (L/min)
-697,1,16.072049549,1.6264697529,13.140720208,1.6380203538,9.9302432322,16.351197183,9.9700810982,16.368423083,-0.022049543,-0.028531883,-3.239008858,3.1819450925,VE,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Minute Ventilation (L/min),VE (L/min),Change in   VE (L/min)
-696,1,16.073386906,1.6263438265,13.142380681,1.6378985041,9.9321425278,16.352618834,9.9700810982,16.368423083,-0.020712185,-0.026871409,-3.237109563,3.1833667438,VE,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Minute Ventilation (L/min),VE (L/min),Change in   VE (L/min)
-695,1,16.074724264,1.6262188097,13.144041155,1.6377775391,9.9340400896,16.354042219,9.9700810982,16.368423083,-0.019374828,-0.025210936,-3.235212001,3.184790129,VE,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Minute Ventilation (L/min),VE (L/min),Change in   VE (L/min)
-694,1,16.076061621,1.6260947027,13.145701628,1.637657459,9.9359359171,16.355467339,9.9700810982,16.368423083,-0.01803747,-0.023550462,-3.233316173,3.1862152485,VE,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Minute Ventilation (L/min),VE (L/min),Change in   VE (L/min)
