Abbreviation,Pre_Mean,Pre_SD,Post_Mean,Post_SD,Diff_Mean,Diff_LCL,Diff_UCL
ARTm,74.4764399,20.781630722,76.80289487,19.466106254,2.2807587273,1.7460868884,2.8154305661
ARTs,115.63961585,25.75678395,118.73313888,25.778759933,3.3681443008,2.8248548374,3.9114337642
ARTd,55.130424825,15.478690063,56.652681728,14.50252822,1.5437420513,1.1474672414,1.9400168612
HR,91.333007588,19.196076247,90.085935481,19.111822266,-0.964733096,-1.208302489,-0.721163703
FIO2(u),40.772665006,16.165297959,40.71607174,15.82095794,-0.525989305,-0.768432862,-0.283545748
SpO2,96.141219609,3.8265496474,96.370919661,3.8478061369,0.1598502674,0.0725623003,0.2471382345
VE(u),12.342542936,13.64193974,12.283910945,13.736002423,0.2172956196,-0.021739449,0.4563306885
