TimeFromTransfusion,Storage_Cat,PredVal_Base,StdErrVal_Base,PredVal_Full,StdErrVal_Full,Lower_Full,Upper_Full,base_lower_full,base_upper_full,Delta_Base,Delta_Full,Delta_Lower,Delta_Upper,VitalParam,CompFactor,CompName,VitalName,YLabel,DeltaYLabel
-99,2,57.803053979,0.2726934163,54.323097765,0.2608968363,53.811749289,54.834446241,53.841972456,54.864417807,-0.041303295,-0.030097367,-0.541445842,0.4812511091,ARTd,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg),Change in   DBP (mmHg)
-98,2,57.802984705,0.2726826808,54.322775286,0.2608858765,53.811448291,54.834102281,53.841972456,54.864417807,-0.041372569,-0.030419845,-0.54174684,0.4809071493,ARTd,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg),Change in   DBP (mmHg)
-97,2,57.80297082,0.2726720665,54.322506484,0.2608750449,53.811200718,54.833812249,53.841972456,54.864417807,-0.041386455,-0.030688648,-0.541994413,0.4806171176,ARTd,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg),Change in   DBP (mmHg)
-96,2,57.803012647,0.2726615953,54.322291675,0.2608643646,53.811006843,54.833576507,53.841972456,54.864417807,-0.041344627,-0.030903456,-0.542188289,0.4803813761,ARTd,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg),Change in   DBP (mmHg)
-95,2,57.803110512,0.2726512898,54.322131178,0.260853859,53.810866936,54.83339542,53.841972456,54.864417807,-0.041246763,-0.031063954,-0.542328195,0.4802002882,ARTd,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg),Change in   DBP (mmHg)
-94,2,57.803264737,0.2726411732,54.322025309,0.2608435524,53.810781268,54.83326935,53.841972456,54.864417807,-0.041092537,-0.031169823,-0.542413864,0.4800742186,ARTd,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg),Change in   DBP (mmHg)
-93,2,57.803475647,0.2726312693,54.321974386,0.2608334696,53.810750106,54.833198665,53.841972456,54.864417807,-0.040881627,-0.031220746,-0.542445025,0.4800035335,ARTd,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg),Change in   DBP (mmHg)
-92,2,57.803743567,0.2726216026,54.321978725,0.2608236362,53.810773719,54.833183732,53.841972456,54.864417807,-0.040613707,-0.031216406,-0.542421412,0.4799886001,ARTd,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg),Change in   DBP (mmHg)
-91,2,57.80406882,0.2726121984,54.322038646,0.2608140785,53.810852372,54.833224919,53.841972456,54.864417807,-0.040288454,-0.031156486,-0.542342759,0.4800297874,ARTd,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg),Change in   DBP (mmHg)
-90,2,57.804451731,0.2726030825,54.322154463,0.2608048233,53.81098633,54.833322597,53.841972456,54.864417807,-0.039905544,-0.031040668,-0.542208802,0.4801274652,ARTd,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg),Change in   DBP (mmHg)
