Abbreviation,FactorName,FactorCategory,DonorHb_Cat,_TYPE_,_FREQ_,Pre_Mean,Pre_SD,Post_Mean,Post_SD,Diff_Mean,Diff_SE,NDiff,Diff_LCL,Diff_UCL,Diff_T,df,p_value,Storage_Cat,DonorSex,DonorParity,wdy_donation
ARTs,Storage_Cat,2,,0,4454,115.99472511,24.256212666,119.74362963,24.857376118,3.7489045243,0.3037530808,4454,3.1535484859,4.3442605627,12.341947329,4453,0,2,,,
ARTs,Storage_Cat,3,,0,1993,115.85299795,24.036345415,118.64452712,24.478540874,2.7915291775,0.4652747986,1993,1.8795905723,3.7034677828,5.9997429174,1992,2.3414473E-9,3,,,
ARTs,Storage_Cat,4,,0,691,114.399525,24.745367862,116.56224711,24.6102343,2.1627221084,0.7259526496,691,0.7398549151,3.5855893017,2.9791503751,690,0.0029919686,4,,,
ARTs,Storage_Cat,5,,0,122,116.7489918,20.655493769,120.26603415,22.108252188,3.5170423497,1.5063913991,122,0.5645152075,6.469569492,2.3347467012,121,0.0212043393,5,,,
ARTs,DonorSex,.,,0,5,103.49,25.813136191,112.58333333,20.203808772,9.0933333333,9.75354437,5,-10.02361363,28.210280299,0.9323106543,4,0.4039534675,,,,
ARTs,DonorSex,1,,0,5185,115.46106173,24.054581714,118.83937912,24.749362226,3.3783173826,0.284112243,5185,2.8214573862,3.935177379,11.890784242,5184,0,,1,,
ARTs,DonorSex,2,,0,4486,115.73417866,24.652959985,118.71360468,24.786990035,2.9794260228,0.3042531502,4486,2.3830898485,3.5757621971,9.7925889057,4485,0,,2,,
ARTs,DonorParity,0,,0,6760,115.52494261,24.131630643,118.78066734,24.784849874,3.2557247336,0.2483570366,6760,2.7689449419,3.7425045253,13.109049691,6759,0,,,0,
ARTs,DonorParity,1,,0,2861,115.85320385,24.887689641,118.75151039,24.751631446,2.8983065405,0.3795683719,2861,2.1543525316,3.6422605494,7.6357956961,2860,3.042011E-14,,,1,
ARTs,wdy_donation,1,,0,1,106.66666667,,144.5,,37.833333333,,1,,,,,,,,,1
ARTs,wdy_donation,2,,0,2021,115.53624867,24.08131047,118.45546124,24.370886264,2.9192125772,0.4360982743,2021,2.0644599595,3.7739651949,6.6939328794,2020,2.805622E-11,,,,2
ARTs,wdy_donation,3,,0,2088,115.48174645,23.866325922,119.09708349,25.127126218,3.615337031,0.4397061009,2088,2.7535130732,4.4771609889,8.2221670868,2087,4.440892E-16,,,,3
ARTs,wdy_donation,4,,0,2457,115.85091741,24.366726539,119.60986045,24.861953454,3.7589430406,0.4380435619,2457,2.9003776593,4.617508422,8.5812082805,2456,0,,,,4
ARTs,wdy_donation,5,,0,1776,115.36633966,24.681322712,117.9628038,25.296357843,2.5964641399,0.4589252507,1776,1.6969706485,3.4959576314,5.6577059898,1775,1.7849063E-8,,,,5
ARTs,wdy_donation,6,,0,741,116.33959207,24.71219347,118.40072237,23.273552792,2.0611303044,0.7561768758,741,0.5790236277,3.543236981,2.7257251184,740,0.0065677264,,,,6
ARTs,wdy_donation,7,,0,468,114.9264224,24.661973179,118.21423718,25.653583239,3.2878147824,0.9305056034,468,1.4640237999,5.111605765,3.5333637654,467,0.0004511323,,,,7
ARTd,DonorHb_Cat,.,,0,172,55.082325866,11.481661303,56.658580426,12.541637326,1.57625456,0.8982521689,172,-0.184319691,3.336828811,1.7548018413,171,0.0810842104,,,,
ARTd,DonorHb_Cat,1,1,0,351,55.686893162,12.932426982,56.578491295,12.02812452,0.8915981323,0.6214614132,351,-0.326466238,2.1096625022,1.4346797941,350,0.1522712757,,,,
ARTd,DonorHb_Cat,2,2,0,3848,55.12162852,13.148092677,56.720710164,13.485296419,1.5990816433,0.2127914775,3848,1.1820103474,2.0161529392,7.5147823681,3847,7.061018E-14,,,,
ARTd,DonorHb_Cat,3,3,0,4253,54.891409932,12.736002473,56.648781192,14.179259199,1.7573712607,0.2091623592,4253,1.3474130367,2.1673294848,8.401947976,4252,0,,,,
ARTd,DonorHb_Cat,4,4,0,1129,55.374063134,15.2403815,56.466609389,12.787000288,1.0925462553,0.4428053057,1129,0.2246478561,1.9604446545,2.467328736,1128,0.0137601847,,,,
ARTd,DonorHb_Cat,5,5,0,65,55.226851282,14.817279627,55.147541026,11.076911041,-0.079310256,1.7317077317,65,-3.47345741,3.3148368976,-0.045798869,64,0.9636131675,,,,
ARTd,Storage_Cat,.,,0,539,54.246964687,12.370883728,55.802996422,10.940780918,1.5560317348,0.4947302638,539,0.5863604177,2.5257030518,3.1452123484,538,0.0017513729,,,,
ARTd,Storage_Cat,1,,0,1608,55.989534128,13.617587676,57.859637833,15.117066031,1.8701037046,0.3627686393,1608,1.1590771717,2.5811302376,5.1550864718,1607,2.8490937E-7,1,,,
ARTd,Storage_Cat,2,,0,4453,54.60270838,12.707904108,56.518237015,13.709768655,1.9155286356,0.1919207249,4453,1.5393640147,2.2916932565,9.9808326386,4452,0,2,,,
ARTd,Storage_Cat,3,,0,1993,55.429242345,13.294410498,56.838254028,13.991948208,1.4090116834,0.3258007482,1993,0.7704422171,2.0475811498,4.3247650334,1992,0.0000160237,3,,,
ARTd,Storage_Cat,4,,0,690,54.96780475,15.991689072,55.16992679,11.871255759,0.2021220392,0.5875915331,690,-0.949557366,1.3538014441,0.3439839206,689,0.7309633295,4,,,
ARTd,Storage_Cat,5,,0,122,55.822924863,14.812987633,55.793654372,11.148912383,-0.029270492,1.0150292929,122,-2.018727906,1.9601869223,-0.028837091,121,0.9770420277,5,,,
ARTd,DonorSex,.,,0,5,54.75,8.6053762265,66.823333333,15.917227739,12.073333333,9.6967242464,5,-6.93224619,31.078912856,1.2450940159,4,0.2810575713,,,,
ARTd,DonorSex,1,,0,5186,54.958461463,13.286279958,56.613446707,13.948341008,1.6549852445,0.1932556824,5186,1.276204107,2.0337663819,8.5637080578,5185,0,,1,,
ARTd,DonorSex,2,,0,4483,55.127464012,13.150840424,56.70909847,13.350009146,1.581634458,0.1965133918,4483,1.1964682101,1.9668007059,8.0484818036,4482,1.110223E-15,,2,,
ARTd,DonorParity,0,,0,6761,54.99697896,13.315578784,56.607022915,13.933966555,1.6100439546,0.168980523,6761,1.2788421296,1.9412457797,9.5279853916,6760,0,,,0,
ARTd,DonorParity,1,,0,2858,55.22276396,13.118703531,56.745328133,13.030266953,1.5225641739,0.2376651847,2858,1.0567404119,1.9883879359,6.4063408185,2857,1.737051E-10,,,1,
ARTd,wdy_donation,1,,0,1,49,,51.8,,2.8,,1,,,,,,,,,1
ARTd,wdy_donation,2,,0,2021,55.267526005,13.012706608,56.30218269,11.645164503,1.0346566852,0.259773352,2021,0.5255009154,1.5438124551,3.9829207939,2020,0.0000704851,,,,2
ARTd,wdy_donation,3,,0,2086,54.847211911,12.954153426,56.736665693,14.421292419,1.8894537821,0.2944411359,2086,1.3123491557,2.4665584085,6.4170849508,2085,1.714304E-10,,,,3
ARTd,wdy_donation,4,,0,2458,54.760326605,13.118405918,56.910087486,14.429954161,2.1497608802,0.295736484,2458,1.5701173715,2.729404389,7.2691771096,2457,4.836131E-13,,,,4
ARTd,wdy_donation,5,,0,1775,55.385546491,13.019686691,56.696520952,14.373736315,1.3109744613,0.317913937,1775,0.6878631448,1.9340857778,4.1236772245,1774,0.0000390099,,,,5
ARTd,wdy_donation,6,,0,741,55.532359199,15.375800543,56.381083521,12.546713878,0.8487243215,0.5387873427,741,-0.20729887,1.9047475132,1.5752491831,740,0.1156263364,,,,6
ARTd,wdy_donation,7,,0,468,55.159809246,13.972825095,56.971174858,13.833737373,1.8113656112,0.6756792232,468,0.4870343338,3.1356968887,2.6808070295,467,0.0076043288,,,,7
Hjärtfrekv,DonorHb_Cat,.,,0,181,90.446863828,19.155925472,88.991673244,17.785022712,-1.455190585,0.6967048324,181,-2.820732056,-0.089649113,-2.088675888,180,0.0381436228,,,,
Hjärtfrekv,DonorHb_Cat,1,1,0,362,91.135359116,17.44424497,89.977915899,17.650484159,-1.157443217,0.4709704194,362,-2.080545239,-0.234341195,-2.457570941,361,0.0144574398,,,,
Hjärtfrekv,DonorHb_Cat,2,2,0,4025,91.395189669,19.159182548,90.268147749,18.932157601,-1.127041919,0.1576025542,4025,-1.435942926,-0.818140913,-7.151165319,4024,1.017186E-12,,,,
Hjärtfrekv,DonorHb_Cat,3,3,0,4431,91.330206726,19.36716309,90.299054094,18.919507918,-1.031152631,0.1501320406,4431,-1.325411431,-0.736893832,-6.86830491,4430,7.398526E-12,,,,
Hjärtfrekv,DonorHb_Cat,4,4,0,1182,91.687765557,19.359540683,91.29608009,18.96517032,-0.391685467,0.3063112917,1182,-0.992055599,0.2086846645,-1.278717037,1181,0.2012479333,,,,
Hjärtfrekv,DonorHb_Cat,5,5,0,68,88.039215686,17.230961028,87.095833333,17.074309927,-0.943382353,0.6950483108,68,-2.305677042,0.4189123363,-1.357290333,67,0.1792436456,,,,
Hjärtfrekv,Storage_Cat,.,,0,563,90.54707773,19.332613392,89.827099721,18.949729813,-0.719978009,0.4495486382,563,-1.60109334,0.1611373219,-1.601557535,562,0.1098153918,,,,
Hjärtfrekv,Storage_Cat,1,,0,1717,94.31710851,19.008678564,93.234177956,18.493643935,-1.082930555,0.2373546447,1717,-1.548145658,-0.617715451,-4.56249995,1716,5.4134603E-6,1,,,
Hjärtfrekv,Storage_Cat,2,,0,4602,90.497400717,18.949720696,89.489510762,18.583141815,-1.007889955,0.1464790385,4602,-1.294988871,-0.72079104,-6.880779434,4601,6.752154E-12,2,,,
Hjärtfrekv,Storage_Cat,3,,0,2074,91.398215919,19.185806711,90.26587646,18.926464433,-1.13233946,0.2158342077,2074,-1.555374507,-0.709304412,-5.246339176,2073,1.7096573E-7,3,,,
Hjärtfrekv,Storage_Cat,4,,0,726,91.054780489,19.621073,89.753656747,20.150602092,-1.301123742,0.3992940303,726,-2.083740042,-0.518507443,-3.258560468,725,0.0011720129,4,,,
Hjärtfrekv,Storage_Cat,5,,0,129,87.197416021,19.782415321,87.123514212,19.3957242,-0.073901809,0.752620848,129,-1.549038671,1.4012350532,-0.098192614,128,0.9219329469,5,,,
Hjärtfrekv,DonorSex,.,,0,5,75.22,15.972225894,80.753333333,17.506309974,5.5333333333,5.6122584086,5,-5.466693147,16.533359814,0.9859370205,4,0.3799810874,,,,
Hjärtfrekv,DonorSex,1,,0,5407,91.278480347,19.43300831,90.341285993,18.882338124,-0.937194353,0.1362847924,5407,-1.204312546,-0.67007616,-6.876734643,5406,6.816547E-12,,1,,
Hjärtfrekv,DonorSex,2,,0,4686,91.414574426,18.884149281,90.223808884,18.778830431,-1.190765542,0.1436111672,4686,-1.47224343,-0.909287654,-8.291594349,4685,2.220446E-16,,2,,
Hjärtfrekv,DonorParity,0,,0,7045,91.208000324,19.163081847,90.202233735,18.783391149,-1.005766589,0.1178469344,7045,-1.23674658,-0.774786598,-8.534516354,7044,0,,,0,
Hjärtfrekv,DonorParity,1,,0,2994,91.635140825,19.249478665,90.54069755,18.988439893,-1.094443275,0.1829286277,2994,-1.452983386,-0.735903165,-5.982897751,2993,2.4519393E-9,,,1,
Hjärtfrekv,wdy_donation,1,,0,1,117.8,,121.6,,3.8,,1,,,,,,,,,1
Hjärtfrekv,wdy_donation,2,,0,2113,91.150236669,19.095455484,90.2212631,18.635586199,-0.92897357,0.2193737793,2113,-1.358946177,-0.499000962,-4.234660917,2112,0.0000238714,,,,2
Hjärtfrekv,wdy_donation,3,,0,2171,91.201946623,19.441337797,90.386230469,19.438181388,-0.815716153,0.222491845,2171,-1.25180017,-0.379632137,-3.666274391,2170,0.000252024,,,,3
Hjärtfrekv,wdy_donation,4,,0,2568,91.401837125,19.366504333,90.289150882,18.978664997,-1.112686242,0.2020917408,2568,-1.508786054,-0.71658643,-5.505847186,2567,4.0384679E-8,,,,4
Hjärtfrekv,wdy_donation,5,,0,1858,91.539153393,18.885342017,90.481625117,18.6312112,-1.057528276,0.2181907336,1858,-1.485182114,-0.629874438,-4.846806547,1857,1.3589499E-6,,,,5
Hjärtfrekv,wdy_donation,6,,0,774,90.995869269,19.074178872,89.707668014,18.535105837,-1.288201255,0.3331665719,774,-1.941207736,-0.635194774,-3.866538132,773,0.0001196735,,,,6
Hjärtfrekv,wdy_donation,7,,0,487,92.036995209,18.481734385,90.695676477,17.848623178,-1.341318731,0.4745896213,487,-2.271514389,-0.411123074,-2.826270679,486,0.0049033692,,,,7
FIO2(u),DonorHb_Cat,.,,0,129,41.889857881,16.506183955,41.655943152,16.604025434,-0.233914729,0.6454835725,129,-1.499062531,1.0312330734,-0.362386804,128,0.7176606368,,,,
FIO2(u),DonorHb_Cat,1,1,0,230,41.519355072,16.883356529,40.818289855,15.910144489,-0.701065217,0.5578424949,230,-1.794436507,0.3923060726,-1.256744016,229,0.210126728,,,,
FIO2(u),DonorHb_Cat,2,2,0,2483,40.588288361,15.645670263,40.134033907,15.426624417,-0.454254454,0.1549523385,2483,-0.757961037,-0.150547871,-2.931575339,2482,0.0034033082,,,,
FIO2(u),DonorHb_Cat,3,3,0,2822,41.814140259,16.271420515,40.969911832,15.620934991,-0.844228426,0.1533677374,2822,-1.144829192,-0.543627661,-5.504602472,2821,4.0325476E-8,,,,
FIO2(u),DonorHb_Cat,4,4,0,697,41.384129603,15.508177977,41.065076518,16.111258067,-0.319053085,0.3197844867,697,-0.945830679,0.3077245092,-0.997712828,696,0.3187653694,,,,
FIO2(u),DonorHb_Cat,5,5,0,41,41.029512195,13.749691988,41.814227642,15.859923493,0.7847154472,1.8974166728,41,-2.934221232,4.5036521258,0.4135704394,40,0.6813977392,,,,
FIO2(u),Storage_Cat,.,,0,343,40.220398445,14.179026338,39.248522838,13.02918242,-0.971875607,0.4095263376,343,-1.774547229,-0.169203986,-2.373169972,342,0.0181883477,,,,
FIO2(u),Storage_Cat,1,,0,1098,39.566405586,15.46879339,38.629413869,14.832833261,-0.936991717,0.1998759176,1098,-1.328748515,-0.545234918,-4.687866992,1097,3.1075635E-6,1,,,
FIO2(u),Storage_Cat,2,,0,2898,41.126059516,15.529346575,40.870643383,15.547784043,-0.255416133,0.151928941,2898,-0.553196857,0.0423645917,-1.681155223,2897,0.0928405608,2,,,
FIO2(u),Storage_Cat,3,,0,1277,41.711780214,16.050141901,41.120296081,15.812456916,-0.591484133,0.2256950397,1277,-1.033846411,-0.149121855,-2.620722786,1276,0.0088785904,3,,,
FIO2(u),Storage_Cat,4,,0,437,42.60117849,17.287415132,41.904344012,16.604405779,-0.696834477,0.3676928377,437,-1.417512439,0.0238434843,-1.895153797,436,0.0587332446,4,,,
FIO2(u),Storage_Cat,5,,0,85,38.685392157,14.715544218,39.517254902,14.539089171,0.8318627451,0.7041440844,85,-0.54825966,2.2119851504,1.1813814297,84,0.2407851775,5,,,
FIO2(u),DonorSex,.,,0,4,39.07,16.200909439,39,16.16171608,-0.07,0.0519615242,4,-0.171844587,0.0318445875,-1.347150628,3,0.2706511125,,,,
FIO2(u),DonorSex,1,,0,3414,41.538809454,16.181287831,40.928027032,15.852448617,-0.610782423,0.1402090444,3414,-0.88559215,-0.335972695,-4.356226982,3413,0.0000136217,,1,,
FIO2(u),DonorSex,2,,0,2883,40.72872413,15.490532704,40.176118874,15.114530744,-0.552605256,0.1423233002,2883,-0.831558924,-0.273651587,-3.882746219,2882,0.0001056018,,2,,
FIO2(u),DonorParity,0,,0,4430,41.245011394,15.928231306,40.637926852,15.532060237,-0.607084543,0.1206741993,4430,-0.843605973,-0.370563112,-5.030773322,4429,5.0784443E-7,,,0,
FIO2(u),DonorParity,1,,0,1838,40.905401705,15.693616824,40.399052801,15.47376021,-0.506348904,0.1804434205,1838,-0.860018008,-0.1526798,-2.806136697,1837,0.0050668116,,,1,
FIO2(u),wdy_donation,1,,0,1,61,,35,,-26,,1,,,,,,,,,1
FIO2(u),wdy_donation,2,,0,1340,41.494584932,15.513144823,41.1977699,15.59715528,-0.296815032,0.2115596345,1340,-0.711471916,0.1178418517,-1.40298518,1339,0.1608530867,,,,2
FIO2(u),wdy_donation,3,,0,1372,40.425804179,15.898989747,39.678946272,15.213494635,-0.746857906,0.2086477615,1372,-1.155807519,-0.337908294,-3.579515548,1371,0.000356241,,,,3
FIO2(u),wdy_donation,4,,0,1584,40.683363847,15.196178602,40.394857353,15.297832503,-0.288506494,0.2079067341,1584,-0.696003692,0.1189907053,-1.387672673,1583,0.1654320366,,,,4
FIO2(u),wdy_donation,5,,0,1157,41.343314607,16.293093459,40.787703626,16.148722743,-0.555610981,0.2047056429,1157,-0.956834041,-0.154387921,-2.714194748,1156,0.0067425395,,,,5
FIO2(u),wdy_donation,6,,0,491,42.299613035,16.22284999,41.309327902,15.183335348,-0.990285132,0.4343273106,491,-1.841566661,-0.139003604,-2.280043433,490,0.0230339202,,,,6
FIO2(u),wdy_donation,7,,0,299,41.703885173,16.512932055,40.726416627,15.313011352,-0.977468546,0.4657071131,299,-1.890254488,-0.064682604,-2.098891167,298,0.0366677558,,,,7
SpO2,DonorHb_Cat,.,,0,173,96.042019964,3.5825489643,95.903525186,7.6578160559,-0.138494778,0.4479988913,173,-1.016572605,0.7395830486,-0.309140895,172,0.7575885081,,,,
SpO2,DonorHb_Cat,1,1,0,333,95.869495996,3.4362948989,96.249625459,3.5716429928,0.3801294628,0.2012805949,333,-0.014380503,0.7746394287,1.8885549452,332,0.0598230358,,,,
SpO2,DonorHb_Cat,2,2,0,3774,96.133322944,3.3087546026,96.242577244,3.4041185591,0.1092542998,0.0507662824,3774,0.0097523864,0.2087562133,2.152103615,3773,0.0314524444,,,,
SpO2,DonorHb_Cat,3,3,0,4194,96.02782797,3.699773372,96.175034108,3.7238282583,0.1472061372,0.054829887,4194,0.0397395586,0.2546727158,2.6847791437,4193,0.0072863294,,,,
SpO2,DonorHb_Cat,4,4,0,1103,95.939399416,3.8094196728,96.207139367,3.1606261351,0.2677399516,0.107505749,1103,0.0570286836,0.4784512197,2.4904710133,1102,0.0129037944,,,,
SpO2,DonorHb_Cat,5,5,0,61,96.367595628,2.664581865,97.088931694,2.4775851231,0.7213360656,0.3396217775,61,0.0556773816,1.3869947495,2.1239393741,60,0.037806509,,,,
SpO2,Storage_Cat,.,,0,532,96.2985337,3.8436100336,96.57051911,2.8003099687,0.27198541,0.1697418853,532,-0.060708685,0.6046795051,1.602347055,531,0.1096735495,,,,
SpO2,Storage_Cat,1,,0,1635,95.930440692,3.3163919926,96.055509349,3.3916148449,0.1250686568,0.0732742457,1635,-0.018548865,0.2686861783,1.7068569679,1634,0.0880386343,1,,,
SpO2,Storage_Cat,2,,0,4310,96.076523965,3.5225681516,96.231310524,3.4593951834,0.1547865592,0.0485315237,4310,0.0596647727,0.2499083457,3.1894024205,4309,0.0014358906,2,,,
SpO2,Storage_Cat,3,,0,1963,96.051514797,3.5039839328,96.199654497,3.7315099197,0.1481397005,0.0834996482,1963,-0.01551961,0.3117990109,1.7741356239,1962,0.0761957756,3,,,
SpO2,Storage_Cat,4,,0,675,96.077710864,3.4023125491,96.16047037,4.5677450365,0.0827595062,0.1461433424,675,-0.203681445,0.3692004573,0.5662899507,674,0.5713851927,4,,,
SpO2,Storage_Cat,5,,0,119,96.253495798,3.0409143478,96.57117507,2.6475199382,0.3176792717,0.2020833822,119,-0.078404157,0.7137627008,1.5720207584,118,0.1186233111,5,,,
SpO2,DonorSex,.,,0,5,94.923333333,5.3352808944,97.516,2.3296523346,2.5926666667,2.8801713684,5,-3.052469215,8.2378025486,0.9001779183,4,0.4189213733,,,,
SpO2,DonorSex,1,,0,5093,96.01465105,3.5003826951,96.219354595,3.3383281026,0.2047035459,0.0461658352,5093,0.114218509,0.2951885828,4.4340916865,5092,9.4406722E-6,,1,,
SpO2,DonorSex,2,,0,4400,96.122142578,3.513634249,96.215193591,3.8201457604,0.0930510126,0.0509918517,4400,-0.006893017,0.1929950421,1.8248212106,4399,0.0680958016,,2,,
SpO2,DonorParity,0,,0,6635,96.050234567,3.4288869783,96.222074658,3.397132339,0.1718400911,0.0405575586,6635,0.0923472763,0.251332906,4.2369436689,6634,0.0000229651,,,0,
