Abbreviation,FactorName,FactorCategory,DonorHb_Cat,_TYPE_,_FREQ_,Pre_Mean,Pre_SD,Post_Mean,Post_SD,Diff_Mean,Diff_SE,NDiff,Diff_LCL,Diff_UCL,Diff_T,df,p_value,Storage_Cat,DonorSex,DonorParity,wdy_donation
SpO2,DonorParity,1,,0,2808,96.121142613,3.617722193,96.171161645,4.2177778459,0.0500190326,0.0670747829,2808,-0.081447542,0.1814856071,0.7457203799,2807,0.4558987857,,,1,
SpO2,wdy_donation,1,,0,1,96.4,,94.25,,-2.15,,1,,,,,,,,,1
SpO2,wdy_donation,2,,0,1982,96.062945425,3.6384790805,96.207115951,3.6071591668,0.1441705259,0.0773695342,1982,-0.007473761,0.2958148129,1.8634017553,1981,0.062553633,,,,2
SpO2,wdy_donation,3,,0,2056,96.052069001,3.5434684057,96.289991102,3.1691020068,0.2379221018,0.0763043854,2056,0.0883655064,0.3874786972,3.1180658945,2055,0.0018456407,,,,3
SpO2,wdy_donation,4,,0,2408,96.046139748,3.3957418297,96.225907975,3.5935320376,0.1797682276,0.0683408288,2408,0.0458202031,0.313716252,2.6304660147,2407,0.0085811391,,,,4
SpO2,wdy_donation,5,,0,1754,96.179292633,3.0622681293,96.180437306,3.603099986,0.0011446734,0.076352698,1754,-0.148506615,0.1507959616,0.0149919184,1753,0.9880403338,,,,5
SpO2,wdy_donation,6,,0,730,95.966418472,4.1086500645,96.154657002,4.4240811314,0.1882385291,0.1121785441,730,-0.031631417,0.4081084755,1.6780261387,729,0.0937706038,,,,6
SpO2,wdy_donation,7,,0,450,96.069898889,3.7435391774,96.140667284,3.0332538697,0.0707683951,0.1536397849,450,-0.230365583,0.3719023736,0.4606124324,449,0.6452996956,,,,7
VE(u),DonorHb_Cat,.,,0,122,18.220719945,26.090129581,17.927935792,25.179136284,-0.292784153,1.2307080329,122,-2.704971897,2.1194035914,-0.237898953,121,0.8123618451,,,,
VE(u),DonorHb_Cat,1,1,0,226,12.571816372,13.91842351,12.453810472,13.818119739,-0.1180059,0.1391127671,226,-0.390666923,0.1546551238,-0.848275123,225,0.3971862873,,,,
VE(u),DonorHb_Cat,2,2,0,2393,12.128250035,13.167365602,12.369361935,13.796143281,0.2411119005,0.1458247774,2393,-0.044704663,0.5269284642,1.6534357518,2392,0.0983734316,,,,
VE(u),DonorHb_Cat,3,3,0,2715,11.582309208,10.622054252,11.71528981,11.213568745,0.1329806016,0.1387975301,2715,-0.139062557,0.4050237607,0.9580905471,2714,0.3381024402,,,,
VE(u),DonorHb_Cat,4,4,0,671,12.631043219,14.265985988,12.577767263,13.90740234,-0.053275956,0.3752938105,671,-0.788851825,0.6822999123,-0.141957993,670,0.8871558608,,,,
VE(u),DonorHb_Cat,5,5,0,40,14.9146375,20.105314848,14.838933333,20.161672634,-0.075704167,0.3666825804,40,-0.794402024,0.6429936909,-0.206456949,39,0.8375080695,,,,
VE(u),Storage_Cat,.,,0,330,12.607027778,15.105177095,12.206017172,13.555219832,-0.401010606,0.3750106582,330,-1.136031496,0.3340102841,-1.069331224,329,0.2857043606,,,,
VE(u),Storage_Cat,1,,0,1052,11.809763783,8.1581882156,11.935975708,8.2946354487,0.1262119244,0.1612423598,1052,-0.189823101,0.4422469495,0.7827466961,1051,0.4339522024,1,,,
VE(u),Storage_Cat,2,,0,2781,12.517871689,14.348516824,12.513842982,14.457771057,-0.004028707,0.148273557,2781,-0.294644878,0.2865874651,-0.02717077,2780,0.9783254795,2,,,
VE(u),Storage_Cat,3,,0,1246,11.770686463,12.454305483,12.272917335,13.791589264,0.5022308721,0.248730529,1246,0.0147190354,0.9897427089,2.0191766336,1245,0.0436828349,3,,,
VE(u),Storage_Cat,4,,0,423,12.074789204,12.871757952,11.818669425,12.115723851,-0.256119779,0.2275808181,423,-0.702178183,0.1899386241,-1.125401436,422,0.2610586084,4,,,
VE(u),Storage_Cat,5,,0,79,11.011886076,10.635830292,10.906518987,10.669310838,-0.105367089,0.2147105234,79,-0.526199714,0.3154655373,-0.490740216,78,0.6249880085,5,,,
VE(u),DonorSex,.,,0,4,30.828625,46.12258674,31.029,45.980559095,0.200375,0.2891383301,4,-0.366336127,0.7670861271,0.6930073917,3,0.5381358689,,,,
VE(u),DonorSex,1,,0,3293,11.95177437,12.332463977,11.955021966,12.234321278,0.0032475959,0.1373439401,3293,-0.265946527,0.2724417186,0.0236457168,3292,0.9811366387,,1,,
VE(u),DonorSex,2,,0,2774,12.30575769,13.218307468,12.562513438,14.049095774,0.2567557478,0.1340313049,2774,-0.00594561,0.5194571053,1.9156401416,2773,0.0555136509,,2,,
VE(u),DonorParity,0,,0,4266,12.097316807,12.736683108,12.132354899,12.789975928,0.0350380919,0.1164234054,4266,-0.193151783,0.2632279665,0.30095402,4265,0.7634642268,,,0,
VE(u),DonorParity,1,,0,1775,12.233781972,13.055528263,12.51468457,13.905924619,0.2809025978,0.1684847225,1775,-0.049327458,0.6111326539,1.6672288958,1774,0.0956454061,,,1,
VE(u),wdy_donation,1,,0,1,9.78,,10.13,,0.35,,1,,,,,,,,,1
VE(u),wdy_donation,2,,0,1316,12.235282548,13.189336319,12.289406535,13.451576415,0.0541239868,0.1956934142,1316,-0.329435105,0.4376830786,0.2765754129,1315,0.7821496097,,,,2
VE(u),wdy_donation,3,,0,1299,12.276177701,13.119938198,12.359787272,13.421515294,0.0836095715,0.2125792658,1299,-0.333045789,0.5002649324,0.3933100962,1298,0.6941550527,,,,3
VE(u),wdy_donation,4,,0,1515,11.994641584,12.28262917,12.068639054,12.076222141,0.0739974697,0.1793707067,1515,-0.277569115,0.4255640548,0.4125393222,1514,0.680002574,,,,4
VE(u),wdy_donation,5,,0,1122,11.700431521,11.876796059,11.843626956,12.343120737,0.1431954347,0.2581963197,1122,-0.362869352,0.6492602213,0.5545990544,1121,0.5792795648,,,,5
VE(u),wdy_donation,6,,0,479,12.195951287,12.151296278,12.742190327,14.483765442,0.5462390397,0.3731833808,479,-0.185200387,1.277678466,1.4637282039,478,0.1439255097,,,,6
VE(u),wdy_donation,7,,0,285,13.638425146,17.834201852,13.544397661,17.118003679,-0.094027485,0.209407598,285,-0.504466377,0.3164114067,-0.449016589,284,0.653762128,,,,7
