Abbreviation,Pre_Mean,Pre_SD,Post_Mean,Post_SD,Diff_Mean,Diff_LCL,Diff_UCL
ARTm,74.611554395,16.789250748,76.825957981,17.056867959,2.0646360247,1.7220473621,2.4072246874
ARTs,115.79484617,24.485735064,118.72870322,25.058121731,3.2538757429,2.8411629583,3.6665885275
ARTd,55.125140878,13.603256955,56.853285828,13.926313569,1.6388131471,1.3614440152,1.916182279
HR,91.264691547,19.179922054,90.043758227,18.932851721,-1.048757269,-1.246947033,-0.850567505
FIO2(u),40.892175715,15.817253482,40.945536678,15.732046128,-0.501465468,-0.697859451,-0.305071485
SpO2,96.055782502,3.6475241523,96.277904061,3.7270384378,0.1473842178,0.0806174387,0.2141509969
VE(u),12.156770091,12.795983206,12.034025552,12.81679046,0.0809842839,-0.109562529,0.2715310964
