TimeFromTransfusion,Storage_Cat,PredVal_Base,StdErrVal_Base,PredVal_Full,StdErrVal_Full,Lower_Full,Upper_Full,base_lower_full,base_upper_full,Delta_Base,Delta_Full,Delta_Lower,Delta_Upper,VitalParam,CompFactor,CompName,VitalName,YLabel,DeltaYLabel
143,3,132.87536827,0.5382065385,126.34626942,0.5022301633,125.36191625,127.33062259,122.53554477,124.50409488,3.0608098064,2.8264495936,1.8420964213,3.8108027658,ARTs,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Systolic Blood Pressure (mmHg),SBP (mmHg),Change in   SBP (mmHg)
144,3,132.88149721,0.5382096777,126.35235523,0.5022334708,125.36799558,127.33671489,122.53554477,124.50409488,3.0669387507,2.8325354089,1.8481757541,3.8168950637,ARTs,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Systolic Blood Pressure (mmHg),SBP (mmHg),Change in   SBP (mmHg)
145,3,132.88744964,0.5382124553,126.35828197,0.5022363892,125.3739166,127.34264734,122.53554477,124.50409488,3.0728911821,2.8384621456,1.8540967708,3.8228275204,ARTs,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Systolic Blood Pressure (mmHg),SBP (mmHg),Change in   SBP (mmHg)
146,3,132.89322666,0.5382148684,126.36405062,0.5022389155,125.37968029,127.34842095,122.53554477,124.50409488,3.0786681993,2.8442307952,1.8598604691,3.8286011214,ARTs,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Systolic Blood Pressure (mmHg),SBP (mmHg),Change in   SBP (mmHg)
147,3,132.89882936,0.5382169144,126.36966217,0.5022410468,125.38528767,127.35403668,122.53554477,124.50409488,3.0842709008,2.8498423489,1.8654678454,3.8342168525,ARTs,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Systolic Blood Pressure (mmHg),SBP (mmHg),Change in   SBP (mmHg)
148,3,132.90425885,0.538218591,126.37511762,0.502242781,125.39073972,127.35949552,122.53554477,124.50409488,3.0897003852,2.8552977982,1.8709198957,3.8396757006,ARTs,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Systolic Blood Pressure (mmHg),SBP (mmHg),Change in   SBP (mmHg)
149,3,132.90951621,0.5382198964,126.38041796,0.5022441159,125.39603744,127.36479848,122.53554477,124.50409488,3.0949577509,2.8605981342,1.8762176154,3.8449786531,ARTs,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Systolic Blood Pressure (mmHg),SBP (mmHg),Change in   SBP (mmHg)
150,3,132.91460256,0.538220829,126.38556417,0.5022450501,125.40118182,127.36994652,122.53554477,124.50409488,3.1000440965,2.8657443485,1.8813619987,3.8501266982,ARTs,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Systolic Blood Pressure (mmHg),SBP (mmHg),Change in   SBP (mmHg)
151,3,132.91951898,0.5382213876,126.39055726,0.5022455821,125.40617386,127.37494065,122.53554477,124.50409488,3.1049605205,2.8707374323,1.8863540397,3.8551208248,ARTs,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Systolic Blood Pressure (mmHg),SBP (mmHg),Change in   SBP (mmHg)
152,3,132.92426658,0.5382215713,126.3953982,0.5022457112,125.41101456,127.37978185,122.53554477,124.50409488,3.1097081216,2.8755783769,1.8911947314,3.8599620225,ARTs,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Systolic Blood Pressure (mmHg),SBP (mmHg),Change in   SBP (mmHg)
153,3,132.92884646,0.5382213795,126.400088,0.5022454367,125.41570489,127.38447111,122.53554477,124.50409488,3.1142879981,2.8802681738,1.8958850663,3.8646512814,ARTs,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Systolic Blood Pressure (mmHg),SBP (mmHg),Change in   SBP (mmHg)
154,3,132.93325971,0.538220812,126.40462764,0.5022447584,125.42024586,127.38900942,122.53554477,124.50409488,3.1187012488,2.8848078143,1.9004260362,3.8691895923,ARTs,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Systolic Blood Pressure (mmHg),SBP (mmHg),Change in   SBP (mmHg)
155,3,132.93750743,0.5382198689,126.40901811,0.5022436763,125.42463846,127.39339777,122.53554477,124.50409488,3.122948972,2.8891982897,1.9048186324,3.8735779469,ARTs,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Systolic Blood Pressure (mmHg),SBP (mmHg),Change in   SBP (mmHg)
156,3,132.94159073,0.5382185503,126.41326042,0.5022421909,125.42888367,127.39763716,122.53554477,124.50409488,3.1270322663,2.8934405913,1.9090638455,3.8778173372,ARTs,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Systolic Blood Pressure (mmHg),SBP (mmHg),Change in   SBP (mmHg)
157,3,132.94551069,0.5382168571,126.41735554,0.5022403027,125.43298249,127.40172858,122.53554477,124.50409488,3.1309522303,2.8975357106,1.9131626654,3.8819087558,ARTs,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Systolic Blood Pressure (mmHg),SBP (mmHg),Change in   SBP (mmHg)
158,3,132.94926842,0.53821479,126.42130446,0.5022380129,125.43693591,127.40567302,122.53554477,124.50409488,3.1347099625,2.9014846389,1.9171160816,3.8858531961,ARTs,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Systolic Blood Pressure (mmHg),SBP (mmHg),Change in   SBP (mmHg)
159,3,132.95286502,0.5382123502,126.42510819,0.5022353227,125.44074491,127.40947148,122.53554477,124.50409488,3.1383065615,2.9052883674,1.9209250829,3.889651652,ARTs,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Systolic Blood Pressure (mmHg),SBP (mmHg),Change in   SBP (mmHg)
160,3,132.95630159,0.5382095393,126.42876771,0.5022322337,125.44441048,127.41312494,122.53554477,124.50409488,3.1417431257,2.9089478876,1.9245906574,3.8933051178,ARTs,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Systolic Blood Pressure (mmHg),SBP (mmHg),Change in   SBP (mmHg)
161,3,132.95957921,0.5382063588,126.43228402,0.5022287477,125.44793362,127.41663441,122.53554477,124.50409488,3.1450207538,2.9124641908,1.9281137931,3.8968145886,ARTs,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Systolic Blood Pressure (mmHg),SBP (mmHg),Change in   SBP (mmHg)
162,3,132.962699,0.5382028109,126.43565809,0.5022248669,125.4513153,127.42000088,122.53554477,124.50409488,3.1481405442,2.9158382684,1.9314954769,3.9001810598,ARTs,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Systolic Blood Pressure (mmHg),SBP (mmHg),Change in   SBP (mmHg)
163,3,132.96566206,0.5381988977,126.43889094,0.5022205936,125.45455652,127.42322535,122.53554477,124.50409488,3.1511035955,2.9190711117,1.9347366957,3.9034055276,ARTs,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Systolic Blood Pressure (mmHg),SBP (mmHg),Change in   SBP (mmHg)
164,3,132.96846947,0.5381946216,126.44198354,0.5022159305,125.45765826,127.42630881,122.53554477,124.50409488,3.1539110062,2.922163712,1.9378384355,3.9064889884,ARTs,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Systolic Blood Pressure (mmHg),SBP (mmHg),Change in   SBP (mmHg)
165,3,132.97112234,0.5381899854,126.44493689,0.5022108805,125.46062151,127.42925226,122.53554477,124.50409488,3.1565638749,2.9251170607,1.9408016821,3.9094324393,ARTs,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Systolic Blood Pressure (mmHg),SBP (mmHg),Change in   SBP (mmHg)
166,3,132.97362176,0.538184992,126.44775197,0.5022054467,125.46344724,127.4320567,122.53554477,124.50409488,3.1590633001,2.9279321491,1.9436274205,3.9122368777,ARTs,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Systolic Blood Pressure (mmHg),SBP (mmHg),Change in   SBP (mmHg)
167,3,132.97596884,0.5381796445,126.45042979,0.5021996326,125.46613646,127.43472313,122.53554477,124.50409488,3.1614103804,2.9306099686,1.9463166355,3.9149033017,ARTs,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Systolic Blood Pressure (mmHg),SBP (mmHg),Change in   SBP (mmHg)
168,3,132.97816467,0.5381739463,126.45297133,0.5021934417,125.46869014,127.43725253,122.53554477,124.50409488,3.1636062142,2.9331515106,1.9488703114,3.9174327097,ARTs,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Systolic Blood Pressure (mmHg),SBP (mmHg),Change in   SBP (mmHg)
169,3,132.98021036,0.538167901,126.45537759,0.5021868779,125.47110926,127.43964593,122.53554477,124.50409488,3.1656519001,2.9355577663,1.951289432,3.9198261006,ARTs,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Systolic Blood Pressure (mmHg),SBP (mmHg),Change in   SBP (mmHg)
170,3,132.982107,0.5381615125,126.45764955,0.5021799452,125.47339481,127.4419043,122.53554477,124.50409488,3.1675485367,2.9378297272,1.9535749807,3.9220844737,ARTs,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Systolic Blood Pressure (mmHg),SBP (mmHg),Change in   SBP (mmHg)
171,3,132.98385568,0.5381547846,126.45978821,0.5021726479,125.47554776,127.44402865,122.53554477,124.50409488,3.1692972225,2.9399683845,1.9557279404,3.9242088287,ARTs,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Systolic Blood Pressure (mmHg),SBP (mmHg),Change in   SBP (mmHg)
172,3,132.98545752,0.5381477215,126.46179455,0.5021649906,125.47756912,127.44601999,122.53554477,124.50409488,3.1708990559,2.9419747297,1.9577492937,3.9262001657,ARTs,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Systolic Blood Pressure (mmHg),SBP (mmHg),Change in   SBP (mmHg)
173,3,132.9869136,0.5381403277,126.46366958,0.5021569778,125.47945985,127.44787931,122.53554477,124.50409488,3.1723551357,2.943849754,1.9596400228,3.9280594852,ARTs,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Systolic Blood Pressure (mmHg),SBP (mmHg),Change in   SBP (mmHg)
174,3,132.98822502,0.5381326077,126.46541427,0.5021486145,125.48122093,127.44960761,122.53554477,124.50409488,3.1736665603,2.9455944488,1.9614011094,3.9297877883,ARTs,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Systolic Blood Pressure (mmHg),SBP (mmHg),Change in   SBP (mmHg)
175,3,132.98939289,0.5381245662,126.46702963,0.5021399056,125.48285336,127.4512059,122.53554477,124.50409488,3.1748344281,2.9472098055,1.9630335351,3.931386076,ARTs,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Systolic Blood Pressure (mmHg),SBP (mmHg),Change in   SBP (mmHg)
