wdy_donation,TimeFromTransfusion,PredVal_Base,StdErrVal_Base,PredVal_Full,StdErrVal_Full,Lower_Full,Upper_Full,VitalParam,CompFactor,CompName,VitalName,YLabel
5,536,84.132029926,2.1256220973,83.504106421,2.1105000571,79.36758971,87.640623132,HR,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
5,537,84.118302605,2.1256178208,83.489504444,2.110496119,79.352995452,87.626013436,HR,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
5,538,84.104466089,2.1256137884,83.474789998,2.1104924259,79.338288244,87.611291752,HR,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
5,539,84.090521266,2.1256100047,83.459963998,2.1104889825,79.323468993,87.596459003,HR,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
5,540,84.076469024,2.1256064742,83.445027359,2.1104857934,79.308538604,87.581516113,HR,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
5,541,84.062310252,2.1256032015,83.429980993,2.1104828629,79.293497983,87.566464004,HR,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
5,542,84.048045835,2.1256001912,83.414825817,2.1104801958,79.278348034,87.5513036,HR,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
5,543,84.033676664,2.1255974477,83.399562744,2.1104777964,79.263089663,87.536035824,HR,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
5,544,84.019203624,2.1255949756,83.384192688,2.1104756693,79.247723777,87.520661599,HR,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
5,545,84.004627604,2.1255927794,83.368716564,2.1104738188,79.23225128,87.505181849,HR,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
5,546,83.989949492,2.1255908634,83.353135287,2.1104722495,79.216673078,87.489597496,HR,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
5,547,83.975170175,2.1255892321,83.337449771,2.1104709657,79.200990078,87.473909463,HR,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
5,548,83.960290542,2.12558789,83.321660929,2.1104699718,79.185203185,87.458118674,HR,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
5,549,83.945311479,2.1255868413,83.305769677,2.1104692721,79.169313304,87.44222605,HR,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
5,550,83.930233875,2.1255860904,83.289776929,2.110468871,79.153321342,87.426232516,HR,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
5,551,83.915058618,2.1255856417,83.2736836,2.1104687727,79.137228205,87.410138994,HR,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
5,552,83.899786595,2.1255854995,83.257490603,2.1104689816,79.121034799,87.393946406,HR,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
5,553,83.884418694,2.1255856679,83.241198853,2.1104695019,79.104742029,87.377655676,HR,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
5,554,83.868955802,2.1255861512,83.224809264,2.1104703377,79.088350803,87.361267726,HR,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
5,555,83.853398808,2.1255869537,83.208322751,2.1104714933,79.071862025,87.344783478,HR,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
5,556,83.837748599,2.1255880795,83.191740229,2.1104729727,79.055276602,87.328203855,HR,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
5,557,83.822006064,2.1255895327,83.175062611,2.1104747803,79.038595442,87.311529779,HR,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
5,558,83.806172089,2.1255913175,83.158290811,2.1104769199,79.021819449,87.294762174,HR,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
5,559,83.790247562,2.1255934379,83.141425746,2.1104793957,79.004949531,87.277901961,HR,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
5,560,83.774233372,2.125595898,83.124468327,2.1104822117,78.987986593,87.260950062,HR,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
5,561,83.758130406,2.1255987018,83.107419471,2.1104853719,78.970931543,87.2439074,HR,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
5,562,83.741939552,2.1256018532,83.090280092,2.1104888802,78.953785287,87.226774896,HR,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
5,563,83.725661697,2.1256053563,83.073051103,2.1104927407,78.936548732,87.209553474,HR,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
5,564,83.70929773,2.125609215,83.055733419,2.1104969571,78.919222785,87.192244054,HR,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
5,565,83.692848537,2.125613433,83.038327955,2.1105015333,78.901808351,87.174847559,HR,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
5,566,83.676315008,2.1256180143,83.020835625,2.1105064731,78.884306339,87.157364911,HR,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
