TimeFromTransfusion,Storage_Cat,PredVal_Base,StdErrVal_Base,PredVal_Full,StdErrVal_Full,Lower_Full,Upper_Full,VitalParam,CompFactor,CompName,VitalName,YLabel
633,4,61.27336314,1.1404801721,58.109875205,1.0815902229,55.98999038,60.229760031,ARTd,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg)
634,4,61.26936849,1.140690629,58.108171149,1.0818074144,55.987860634,60.228481663,ARTd,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg)
635,4,61.265373269,1.140904067,58.106466935,1.0820276968,55.985724673,60.227209196,ARTd,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg)
636,4,61.261377498,1.1411204867,58.104762569,1.0822510708,55.983582502,60.225942637,ARTd,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg)
637,4,61.2573812,1.1413398887,58.103058059,1.0824775367,55.981434124,60.224681993,ARTd,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg)
638,4,61.253384397,1.1415622732,58.101353409,1.0827070946,55.979279548,60.22342727,ARTd,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg)
639,4,61.24938711,1.14178764,58.099648626,1.082939744,55.977118779,60.222178473,ARTd,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg)
640,4,61.245389361,1.1420159885,58.097943715,1.0831754843,55.974951824,60.220935606,ARTd,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg)
641,4,61.241391173,1.1422473177,58.096238684,1.0834143144,55.972778693,60.219698675,ARTd,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg)
642,4,61.237392567,1.1424816265,58.094533537,1.0836562327,55.970599394,60.218467681,ARTd,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg)
643,4,61.233393566,1.1427189131,58.092828282,1.0839012374,55.968413936,60.217242628,ARTd,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg)
644,4,61.229394191,1.1429591757,58.091122924,1.0841493263,55.966222331,60.216023516,ARTd,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg)
645,4,61.225394465,1.1432024118,58.089417468,1.0844004968,55.964024589,60.214810348,ARTd,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg)
646,4,61.221394409,1.1434486189,58.087711922,1.084654746,55.961820722,60.213603123,ARTd,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg)
647,4,61.217394045,1.1436977938,58.086006291,1.0849120705,55.959610743,60.21240184,ARTd,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg)
648,4,61.213393395,1.1439499332,58.084300582,1.0851724667,55.957394665,60.211206499,ARTd,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg)
649,4,61.209392482,1.1442050333,58.0825948,1.0854359304,55.955172501,60.210017098,ARTd,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg)
650,4,61.205391327,1.14446309,58.080888951,1.0857024574,55.952944268,60.208833634,ARTd,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg)
651,4,61.201389952,1.144724099,58.079183042,1.0859720426,55.950709979,60.207656104,ARTd,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg)
652,4,61.19738838,1.1449880553,58.077477078,1.0862446811,55.948469652,60.206484504,ARTd,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg)
653,4,61.193386631,1.1452549538,58.075771065,1.0865203672,55.946223303,60.205318828,ARTd,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg)
654,4,61.189384729,1.145524789,58.074065011,1.0867990951,55.94397095,60.204159072,ARTd,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg)
655,4,61.185382695,1.1457975551,58.07235892,1.0870808585,55.941712611,60.203005229,ARTd,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg)
656,4,61.181380551,1.1460732457,58.070652798,1.0873656507,55.939448305,60.201857292,ARTd,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg)
657,4,61.177378319,1.1463518545,58.068946653,1.0876534648,55.937178053,60.200715253,ARTd,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg)
658,4,61.173376021,1.1466333743,58.067240489,1.0879442934,55.934901874,60.199579105,ARTd,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg)
659,4,61.16937368,1.1469177981,58.065534314,1.0882381287,55.932619789,60.198448838,ARTd,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg)
660,4,61.165371316,1.147205118,58.063828132,1.0885349628,55.930331822,60.197324442,ARTd,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg)
661,4,61.161368949,1.1474953273,58.062121949,1.088834788,55.92803799,60.196205908,ARTd,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg)
662,4,61.157366581,1.1477884227,58.060415766,1.089137601,55.925738303,60.195093229,ARTd,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg)
663,4,61.153364214,1.148084402,58.058709583,1.0894433993,55.923432764,60.193986402,ARTd,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg)
664,4,61.149361846,1.1483832629,58.0570034,1.0897521804,55.92112138,60.192885421,ARTd,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg)
665,4,61.145359479,1.1486850033,58.055297218,1.0900639417,55.918804154,60.191790281,ARTd,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg)
666,4,61.141357112,1.1489896208,58.053591035,1.0903786806,55.916481092,60.190700977,ARTd,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg)
667,4,61.137354744,1.1492971132,58.051884852,1.0906963947,55.914152199,60.189617505,ARTd,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg)
668,4,61.133352377,1.1496074782,58.050178669,1.0910170812,55.91181748,60.188539858,ARTd,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg)
669,4,61.129350009,1.1499207134,58.048472486,1.0913407376,55.90947694,60.187468032,ARTd,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg)
670,4,61.125347642,1.1502368164,58.046766303,1.0916673613,55.907130585,60.186402022,ARTd,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg)
671,4,61.121345275,1.150555785,58.045060121,1.0919969495,55.904778419,60.185341822,ARTd,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg)
672,4,61.117342907,1.1508776168,58.043353938,1.0923294996,55.902420448,60.184287428,ARTd,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg)
673,4,61.11334054,1.1512023093,58.041647755,1.0926650088,55.900056677,60.183238833,ARTd,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg)
674,4,61.109338172,1.1515298601,58.039941572,1.0930034746,55.897687111,60.182196033,ARTd,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg)
675,4,61.105335805,1.1518602668,58.038235389,1.093344894,55.895311756,60.181159022,ARTd,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg)
676,4,61.101333438,1.1521935269,58.036529206,1.0936892644,55.892930618,60.180127795,ARTd,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg)
677,4,61.09733107,1.152529638,58.034823023,1.0940365829,55.890543701,60.179102346,ARTd,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg)
678,4,61.093328703,1.1528685975,58.033116841,1.0943868468,55.888151011,60.17808267,ARTd,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg)
679,4,61.089326335,1.153210403,58.031410658,1.0947400532,55.885752554,60.177068762,ARTd,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg)
680,4,61.085323968,1.1535550519,58.029704475,1.0950961992,55.883348335,60.176060614,ARTd,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg)
681,4,61.081321601,1.1539025417,58.027998292,1.0954552821,55.880938361,60.175058223,ARTd,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg)
682,4,61.077319233,1.1542528697,58.026292109,1.0958172989,55.878522636,60.174061583,ARTd,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg)
683,4,61.073316866,1.1546060335,58.024585926,1.0961822468,55.876101166,60.173070687,ARTd,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg)
684,4,61.069314499,1.1549620304,58.022879744,1.0965501227,55.873673957,60.17208553,ARTd,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg)
685,4,61.065312131,1.1553208578,58.021173561,1.0969209237,55.871241015,60.171106106,ARTd,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg)
686,4,61.061309764,1.1556825131,58.019467378,1.0972946469,55.868802346,60.17013241,ARTd,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg)
687,4,61.057307396,1.1560469936,58.017761195,1.0976712894,55.866357955,60.169164435,ARTd,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg)
688,4,61.053305029,1.1564142966,58.016055012,1.098050848,55.863907849,60.168202176,ARTd,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg)
689,4,61.049302662,1.1567844195,58.014348829,1.0984333197,55.861452033,60.167245626,ARTd,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg)
690,4,61.045300294,1.1571573595,58.012642647,1.0988187016,55.858990513,60.166294781,ARTd,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg)
691,4,61.041297927,1.1575331139,58.010936464,1.0992069906,55.856523295,60.165349633,ARTd,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg)
692,4,61.037295559,1.15791168,58.009230281,1.0995981835,55.854050386,60.164410176,ARTd,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg)
693,4,61.033293192,1.158293055,58.007524098,1.0999922773,55.851571791,60.163476406,ARTd,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg)
694,4,61.029290825,1.1586772362,58.005817915,1.1003892689,55.849087516,60.162548315,ARTd,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg)
695,4,61.025288457,1.1590642207,58.004111732,1.1007891551,55.846597568,60.161625897,ARTd,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg)
696,4,61.02128609,1.1594540058,58.00240555,1.1011919328,55.844101953,60.160709146,ARTd,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg)
697,4,61.017283722,1.1598465886,58.000699367,1.1015975988,55.841600677,60.159798057,ARTd,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg)
698,4,61.013281355,1.1602419663,57.998993184,1.1020061499,55.839093746,60.158892622,ARTd,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg)
699,4,61.009278988,1.1606401361,57.997287001,1.1024175829,55.836581166,60.157992836,ARTd,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg)
700,4,61.00527662,1.161041095,57.995580818,1.1028318946,55.834062945,60.157098692,ARTd,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg)
701,4,61.001274253,1.1614448401,57.993874635,1.1032490818,55.831539087,60.156210183,ARTd,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg)
