DonorParity,TimeFromTransfusion,PredVal_Base,StdErrVal_Base,PredVal_Full,StdErrVal_Full,Lower_Full,Upper_Full,VitalParam,CompFactor,CompName,VitalName,YLabel
0,717,82.584936405,2.1055867066,81.793443354,2.0911214759,77.694908082,85.891978627,HR,DonorParity,Donor Parity,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
0,718,82.578321009,2.1056077592,81.78584635,2.0911422616,77.687270338,85.884422362,HR,DonorParity,Donor Parity,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
0,719,82.571705614,2.1056289503,81.778249345,2.0911631856,77.679632322,85.876866368,HR,DonorParity,Donor Parity,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
0,720,82.565090218,2.10565028,81.770652341,2.0911842481,77.671994036,85.869310645,HR,DonorParity,Donor Parity,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
1,0,82.075455272,2.1098456181,81.255482009,2.0953566231,77.148645975,85.362318043,HR,DonorParity,Donor Parity,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
1,1,82.066199265,2.1098439038,81.246008188,2.095354883,77.139175565,85.352840812,HR,DonorParity,Donor Parity,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
1,2,82.056940176,2.1098372111,81.236544312,2.0953482067,77.129724774,85.34336385,HR,DonorParity,Donor Parity,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
1,3,82.047680706,2.1098256609,81.227092971,2.095336714,77.120295958,85.333889984,HR,DonorParity,Donor Parity,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
1,4,82.038423555,2.1098093829,81.217656758,2.0953205337,77.110891458,85.324422058,HR,DonorParity,Donor Parity,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
1,5,82.029171424,2.1097885151,81.208238263,2.0952998026,77.101513596,85.314962931,HR,DonorParity,Donor Parity,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
1,6,82.019927013,2.1097632031,81.198840079,2.0952746655,77.09216468,85.305515479,HR,DonorParity,Donor Parity,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
1,7,82.010693024,2.1097335995,81.189464797,2.0952452738,77.082847005,85.29608259,HR,DonorParity,Donor Parity,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
1,8,82.001472157,2.109699863,81.18011501,2.0952117852,77.073562853,85.286667166,HR,DonorParity,Donor Parity,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
1,9,81.992267112,2.1096621585,81.170793307,2.0951743633,77.064314497,85.277272118,HR,DonorParity,Donor Parity,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
